VaR,ES
-0.038461537827082955,-0.04941174273564793
-0.038471348883108915,-0.04940837334958296
-0.039407592559410905,-0.0502048316715968
-0.03951150906232795,-0.05027323027881424
-0.03888693900972444,-0.04987994034896696
-0.03971175261687271,-0.05118947688374695
-0.03892222559048658,-0.0497532716047293
-0.03897369896461798,-0.04967932170531879
-0.03884702491862471,-0.04905099191178751
-0.039675171212006005,-0.05015599117552112
-0.03645229669338147,-0.048516609991636435
-0.03727697542905869,-0.04832556832790155
-0.03637249866650116,-0.048565413787199065
-0.03634876074786855,-0.04858221467925337
-0.03723339357029478,-0.04819722810626573
-0.03776848512331081,-0.050560420318852765
-0.03734630728262243,-0.049548052384916906
-0.03689527174347196,-0.04872063151159733
-0.036853958963633596,-0.05021054261825689
-0.0372125171723337,-0.04946690291144548
-0.022150811631936884,-0.03226445243245947
-0.023450260528575857,-0.032549514581139284
-0.022649749750508052,-0.03253118233257442
-0.02238827146584168,-0.03190240315439235
-0.022368844980303233,-0.03294720359665631
-0.02294003366953959,-0.03363744475726979
-0.02288781100671023,-0.03245758866367888
-0.023326265161757124,-0.0324467849648067
-0.02292634746944206,-0.032646846720387805
-0.023188537646319864,-0.03316735921129951
-0.011788670836545823,-0.01732233847157071
-0.011850464370550689,-0.016717860106833484
-0.011708258561405982,-0.016943955168892324
-0.012024433062616708,-0.017461626764727987
-0.012192469705583431,-0.01704319720196007
-0.011684291327685448,-0.0163305223162048
-0.01195757837216769,-0.01703583265708646
-0.011631616124205865,-0.0167753134778003
-0.011794368957124754,-0.016782743958432968
-0.012095230586438657,-0.01712853646401539
-0.006114263806380965,-0.009356245901333037
-0.005954298476602694,-0.009469538645747864
-0.006159740384758669,-0.009162931919343155
-0.0062127614074518785,-0.009506428573376741
-0.0059609919515803,-0.009292446144419245
-0.006171956522137298,-0.009001235593101509
-0.006166508740919896,-0.009496717223466395
-0.006192640272921423,-0.009561514215555868
-0.0060636042991377,-0.009372116210531786
-0.00601697783992736,-0.009396448176593113
-0.008202187249312364,-0.01415269156527528
-0.008533102300995951,-0.014388271600951786
-0.008472778735741902,-0.014373580261468474
-0.008400583485152201,-0.014020805366204982
-0.008353210551434169,-0.014176962360870751
-0.008603398581074775,-0.014820141104480144
-0.008296935667457126,-0.0145089016370369
-0.008192368352938469,-0.013829550674084498
-0.008298307340724155,-0.01394678297171336
-0.00812689441366168,-0.014128194811089031
-0.009322242643917894,-0.016900152283687384
