VaR,ES
-0.024197761393043835,-0.0348192238676058
-0.02499545479624477,-0.03255674530075296
-0.023261793699574162,-0.033409164198576285
-0.023068782319020667,-0.030962807825601946
-0.021882852236768575,-0.032073394014469646
-0.022636843132942678,-0.031250082695393824
-0.02292692757422495,-0.032481147520227516
-0.02349123657426149,-0.031361010952169775
-0.021082014021711275,-0.031316228969376
-0.02360482768520485,-0.03236371851675344
-0.02345649248318988,-0.03390996793301894
-0.02295738536775986,-0.030836132230009215
-0.022713634250430718,-0.03249479940296032
-0.022867949687329085,-0.03296781616616128
-0.02308023423261531,-0.03188004969524698
-0.02245502052913954,-0.03105586469919578
-0.020007339919122603,-0.029897804989824715
-0.022046212305390212,-0.031589675911561976
-0.021974290197677677,-0.030469868174876066
-0.021091082309716586,-0.03065101522941256
-0.02271411003154031,-0.03289153053447053
-0.022580717528967995,-0.030316571473396777
-0.023572201167815665,-0.03256742285785105
-0.02153902193883554,-0.031041925055916627
-0.021701628164419298,-0.0315614469592821
-0.021973961964769768,-0.031151522477821478
-0.02194585139794048,-0.031416193160685675
-0.022724383933963848,-0.030716278026215217
-0.022105578006369413,-0.03215504319336208
-0.020068750697663163,-0.030992506056298694
-0.022596226077201333,-0.03164150034601985
-0.022304464144183925,-0.03068962956957417
-0.022926074173928546,-0.03115333619967961
-0.023214640453792776,-0.03173793657628915
-0.02141463981344007,-0.031090250172207394
-0.0218889676616957,-0.03161013943525185
-0.02278070829165107,-0.030463317446808014
-0.021274830493129317,-0.028607031364946512
-0.022201984485098625,-0.031341782025081
-0.0215526451736656,-0.03108292983553094
-0.023209854864764446,-0.03185747876687934
-0.02180638694842422,-0.02865499745233414
-0.021807702452351793,-0.03043492185458626
-0.023037290041602983,-0.031066854884778783
-0.02141939698736194,-0.03079818649176034
-0.022629177522631362,-0.031158667478820526
-0.02170502943243342,-0.02946407157724335
-0.020471639537084935,-0.0316309260148313
-0.021312629123510597,-0.03062428124360855
-0.01914984023535833,-0.027757624894825247
-0.020056928021777325,-0.027608088902933745
-0.020423885101238135,-0.028926340097395378
-0.020805579753078503,-0.030756090135841622
-0.02040026393809553,-0.03024064726715194
-0.018922678998187045,-0.027830350256112198
-0.020707479710445675,-0.029822900227743015
-0.02011326571543252,-0.02870513145220115
-0.021379472631213804,-0.029538666849037422
-0.02072931094881069,-0.03048107406846891
-0.02118603578577781,-0.0306452901841735
-0.019324700783845048,-0.030584099075034767
-0.019161412367147624,-0.02723973555661533
-0.020009606873074702,-0.029838404503637183
-0.019064924819287784,-0.028408885853353074
-0.020640249581878455,-0.028306556245097803
-0.020103422452199617,-0.027419638215310186
-0.019904147708987092,-0.027437100111501307
-0.0186279158233138,-0.027011331748944153
-0.019485201568200692,-0.028821990926972504
-0.019174117264841393,-0.0273218367705124
-0.020538742434896316,-0.029792393237431162
-0.01972261145547328,-0.029589550684077304
-0.019731868200857008,-0.029279107038066892
-0.01934245478939265,-0.027689231026646523
-0.018460890156138627,-0.026230845509867894
-0.020188675492674873,-0.027622287454696397
-0.020764867043175005,-0.027282697399760986
-0.01835045335196388,-0.02619820259111792
-0.019120904148173596,-0.027050962353438554
