VaR,ES
-0.02297556956669799,-0.03258091791216306
-0.022956322808889977,-0.032559575547111294
-0.02288794092315986,-0.0324847767805318
-0.022812517981528856,-0.032389985961621265
-0.022796385681891285,-0.032375018071862216
-0.02274824660749471,-0.03225214010847873
-0.022710778196554707,-0.032206348137679024
-0.0225673678096528,-0.03203974344021655
-0.022577307255802856,-0.03205822310683607
-0.022559591146015703,-0.03204291898843023
-0.02261853995869006,-0.03211740864970646
-0.022452762848236385,-0.03191266357459209
-0.022461745672667163,-0.031924248148324494
-0.022384576546595047,-0.03176960557875933
-0.022259986738762935,-0.03162807778236541
-0.0221374460065392,-0.031508837873834655
-0.022143793748525195,-0.03151557196782539
-0.02205116680084701,-0.03136251507794013
-0.0220976463315163,-0.03138567891376506
-0.022099746493441503,-0.031384474517847614
-0.0220979763097723,-0.031385513309973335
-0.022186284982702698,-0.03148762181621616
-0.022184696920016834,-0.0314725708542524
-0.02212633781321323,-0.03141352023700959
-0.022140513176893133,-0.03141660762369691
-0.02216624316499352,-0.03143839334561097
-0.022167633452485062,-0.03144742798293047
-0.02216953374320151,-0.031442898895630934
-0.02214693921967195,-0.031435506522995225
-0.02198772632230807,-0.03124573613780113
-0.021998570348826654,-0.03125566610685348
-0.02199816358870353,-0.03125582099721031
-0.02194482163582402,-0.031202442376511368
-0.021951748393139424,-0.031210637685120276
-0.02199105787035898,-0.031252131620842706
-0.0219935703126524,-0.03125464283425178
-0.02185254842399577,-0.031108796040417476
-0.021824862934346774,-0.031091942109011672
-0.02182173221522031,-0.031089423759080685
-0.021712089213387516,-0.030955759368852868
-0.021699804463092106,-0.030944283200045806
-0.021692016383187386,-0.030898418918754143
-0.021697959133009016,-0.030899847563657934
-0.02165902040478063,-0.030855466670067618
-0.021537384241109854,-0.030700870240609662
-0.021534272669840204,-0.03068443076223164
-0.02127036259392772,-0.030381856509650692
-0.02126616222128248,-0.03037954432958341
-0.021216663612629905,-0.03027558021243913
-0.020902048597324595,-0.02987174061211583
-0.020969198092594437,-0.02994783844554495
-0.021006796018194242,-0.029989455913557353
-0.020966298816660622,-0.02992156315140017
-0.02057669894739236,-0.029418127508889527
-0.020624546116590044,-0.029472903673276173
-0.020469853724185957,-0.029291914766503085
-0.02048316798052022,-0.029305970286702895
-0.02027758023454244,-0.02904597078462183
-0.020224029810074637,-0.028983792029698707
-0.020235881112636255,-0.028976961767500923
-0.02021908026182023,-0.028965398894010872
-0.020209473427874915,-0.02893026641169202
-0.019615980968494214,-0.028155161559454363
-0.01953679057339741,-0.028055545015424063
-0.01962393475058431,-0.02815781411601976
-0.019461797505679213,-0.02786095323314449
-0.01945933825122092,-0.027859843334143014
-0.019436546160765702,-0.02784465580673639
-0.01945324447648135,-0.027846004400128823
-0.019442860369495885,-0.027788221338801173
-0.01941028056369452,-0.02776423845424315
-0.019348832629751955,-0.027713497396201946
-0.019375184771109957,-0.027731023665389005
-0.01925087862754686,-0.027575875051854888
-0.019272107771976764,-0.027600082382588022
-0.019269104305134014,-0.027591654157964485
-0.019198960732801362,-0.027510395826956767
-0.018938880739523236,-0.027187044703896
-0.018591737655342954,-0.026745295686826345
-0.018204140144413496,-0.02625148057429504
-0.018137849514631054,-0.026200393438977627
-0.01816154678337897,-0.02620956607748723
-0.01805746595278261,-0.026078418038614878
-0.01807807185337719,-0.026100544698117012
-0.017979659738557044,-0.025926024617778858
-0.018032177198333568,-0.025983586482752268
-0.018071034684427736,-0.025999544333619628
-0.017999086189186907,-0.0258715907723558
-0.01796405451596912,-0.02583203623536969
-0.017706826281885288,-0.02551603476771185
-0.017724386081425247,-0.02555614363005916
-0.01768577301113528,-0.02550965180688698
-0.017712126433375195,-0.025518959317484546
-0.017727115903853903,-0.02553437508922063
-0.017806278435109162,-0.02562296962354549
-0.017839121398653294,-0.025643739894004456
-0.017826871024318507,-0.025630717539104154
-0.017770706422094402,-0.025571659458945968
-0.01766858308994951,-0.025455408759188683
-0.017640970414955038,-0.025429489146725593
-0.017613616433716305,-0.025404459695305803
-0.017592905145050502,-0.025362080012083416
-0.017456798448212768,-0.025194905621880637
-0.017450926919426204,-0.025181595853309455
-0.017448551942426574,-0.025179159923706788
-0.017448548207751956,-0.025179178641336234
-0.017424406951359595,-0.025155977295754247
-0.017452519706351418,-0.025188031185924133
-0.017457408416994252,-0.025194126628199233
-0.017387458437716913,-0.02507842354191669
-0.01745313282256473,-0.025142111816772044
-0.01744678944012926,-0.025135285290836272
-0.017509686794231906,-0.02520988072012952
-0.017435989685363484,-0.025122465201881106
-0.01750749932253029,-0.025165952951639994
-0.017460696278281906,-0.025118007108036085
-0.017485671477739127,-0.025142188431918767
-0.01750207976956398,-0.025162088611679918
-0.017522664083194008,-0.025183104518333832
-0.01749554998078012,-0.025120113109338843
-0.017458766596239447,-0.025079721305348857
-0.017549346001782325,-0.02517288153444202
-0.017593425035937745,-0.02521645106179
-0.01764919895288376,-0.025276368118471178
-0.017644682226051686,-0.025271533028153655
-0.017635098384068452,-0.02526080309986757
-0.01760426045273422,-0.02522371199649409
-0.017458095562829092,-0.025055508948041462
-0.01746852051855703,-0.02506857097793554
-0.017447828962655842,-0.025055033235851714
-0.01745421168255722,-0.025046054558335057
-0.0170407810029248,-0.024523561291376613
-0.01697846337179085,-0.024452583531013237
-0.016957200919718442,-0.024426683631662064
-0.016886156915076396,-0.024343500796773714
-0.016908584166962923,-0.024358113951130387
-0.016877404885642475,-0.02431804889009723
-0.016872899899806133,-0.02431263774997187
-0.016865656660267268,-0.02428514457763412
-0.016865380928569054,-0.02429219707584756
-0.016916506199240264,-0.024332089042740434
-0.0169126108756041,-0.024308059399482943
-0.016253311640365743,-0.023451455718333677
-0.01635504423060851,-0.023567392184808245
-0.016291745051887487,-0.023498066732363886
-0.01629355725415911,-0.02349996417871082
-0.016372453805127397,-0.02358932793639635
-0.016393860581940072,-0.02361541701990828
-0.016250042284259886,-0.02343216664655459
