"VaR","ES"
-0.0160537547756903,-0.0262644227598892
-0.0156261362072878,-0.0248175134754042
-0.0151343948804455,-0.023653410684524
-0.0148459818936712,-0.0242669349399926
-0.0145184945523253,-0.0229652284683097
-0.0140425329013833,-0.0229434637257244
-0.0138426241132293,-0.0225552931867332
-0.0143373692871622,-0.022049047645544
-0.0154008182704622,-0.0233913121569796
-0.0145933054109551,-0.0231835250498173
-0.0152677960110521,-0.0255951416437138
-0.0150438795008544,-0.0241212951204099
-0.0166975165421157,-0.0275246547645807
-0.0170405622078128,-0.0264590673375647
-0.0169623427542133,-0.026011557213343
-0.0178208228148598,-0.0263189738543754
-0.0179707534825644,-0.0278368624161711
-0.0190287458859673,-0.0280752907738109
-0.0182605869192043,-0.0288576244866971
-0.0182783621364548,-0.028357009133763
-0.0178412590455992,-0.0275332351053286
-0.0173521759160547,-0.0279410493836692
-0.01710126824062,-0.0263878461001028
-0.0171267977701317,-0.026045358987552
-0.0166071691729497,-0.0260708248002588
-0.0158232974924742,-0.0250709735815014
-0.0159301881945002,-0.0244248444935734
-0.0151807339005999,-0.0236691854977958
-0.0153244823442655,-0.0233338942861867
-0.0145042878245006,-0.0228746314557552
-0.014049157221828,-0.0223410796879681
-0.0152028880104978,-0.0233907613472211
-0.014954685476042,-0.0229798028961603
-0.0141924319243738,-0.023067521138963
-0.0139500295183336,-0.02283277206267
-0.0135705763346649,-0.0216458330980413
-0.0146678952966298,-0.0224622692622891
-0.0169698648726302,-0.0259246588730155
-0.0160370561537356,-0.024923086071363
-0.0155710228781416,-0.0248830833009579
-0.0149985844861608,-0.0236771136599007
-0.0143573413167292,-0.0229028792776429
-0.0152031183271986,-0.0231486557364419
-0.014120878623025,-0.0227300474694914
-0.0141040873635794,-0.023242273430057
-0.0166825568411185,-0.025249275816635
-0.0173339973229386,-0.0257847934036575
-0.0160932578954783,-0.0249920536594132
-0.0154205012732026,-0.0241721699176341
-0.0147140598164737,-0.0235275861575432
-0.0143325283762072,-0.0234832575823045
-0.0140672771713111,-0.0227945023342028
-0.0156609507110338,-0.0240345548325877
-0.0145180053313752,-0.0234291287235527
-0.0140622450242064,-0.0230790112840826
-0.0140404039238818,-0.0219415154603661
-0.0131437547221233,-0.0213992221713362
-0.0129422635147992,-0.0209090541935295
-0.0124919348953117,-0.0201878819997499
-0.012000103690232,-0.0195495839473727
-0.0124279013225167,-0.0196419595592719
-0.0122056389093409,-0.0199526275794335
-0.0117750533859759,-0.019126922061097
-0.0118102706090953,-0.0200252801536503
-0.012107155343129,-0.020598807232214
-0.0119100829432258,-0.0199391532899432
-0.0128929337437105,-0.0202664739682275
-0.0128482808160609,-0.0201440645734751
-0.0120669251632997,-0.0201970643113137
-0.0118209018098998,-0.0197771066893943
-0.0123226668640933,-0.0192929813642254
-0.0130997600578392,-0.019862208318229
-0.0121857600596081,-0.0198996682054723
-0.0116769352040242,-0.0195364954568759
-0.0119594615612174,-0.0199972367853471
-0.0123060226307372,-0.0193986458526152
-0.0115953549716667,-0.0188440482595463
-0.0114614928485752,-0.0186996425191818
-0.0111934875369107,-0.0181107282164976
-0.0110319425042658,-0.0176760787601484
-0.012607515058357,-0.0189001818821717
-0.011694776665127,-0.019237723721992
-0.0112901812373992,-0.0192140562618216
-0.0113256920221306,-0.018701745063851
-0.0118726175003938,-0.019005812636957
-0.0113008221075023,-0.0192811549139775
-0.0114852425008819,-0.0193736057905343
-0.0119634536090285,-0.0188558502085777
