VaR,ES
-0.007205745726448227,-0.012735760101674702
-0.00696460451035132,-0.012978641649312948
-0.007212664682339784,-0.013328223959095848
-0.007247850949464769,-0.013528770245621246
-0.007228654417178601,-0.013049382816572079
-0.007115475909178963,-0.013063303084018558
-0.007274460576994697,-0.012914598791985397
-0.007014364013424289,-0.012179173672063752
-0.007060650977494099,-0.012603249762298646
-0.007205181703049906,-0.016206622116148296
-0.007103860860216785,-0.011464494468691506
-0.007256473997092258,-0.011836844959014074
-0.007338158880227739,-0.01513243713119018
-0.007012138584777603,-0.011457583863866234
-0.007194381070173314,-0.012034076853055182
-0.007262274723393837,-0.011636041467534785
-0.007267061197321467,-0.011647082320771983
-0.007165360035671081,-0.012005845561930083
-0.007104334214560457,-0.011628506645864763
-0.006898538025757959,-0.011381227526425708
-0.009581772536913627,-0.016048854042439116
-0.009906857120727437,-0.01641738373724765
-0.009925281217559848,-0.018366555739377056
-0.009574017176861623,-0.015822899500033096
-0.009509000453879445,-0.015301998872937966
-0.009401027403319509,-0.015408877469375045
-0.009480884772918518,-0.015707737354619195
-0.009549866098444182,-0.016136929171749578
-0.00977321630210082,-0.016105001978509753
-0.01001992984157669,-0.0167208462049704
-0.008824047498812658,-0.015117170134371931
-0.008770296443095625,-0.014512167115983146
-0.008852578618111498,-0.01542092483608849
-0.008851918072108113,-0.014492222958303018
-0.008750201750129855,-0.015156637818450149
-0.008296942058454628,-0.014333923069177626
-0.008716333843146662,-0.015175206075480946
-0.009017530399889943,-0.015242325026203185
-0.008771935672331692,-0.014778588377031254
-0.008946563252317156,-0.015219674613100321
-0.010733707119927664,-0.02030295496696308
-0.010429917712458804,-0.019560565946878078
-0.01063165152090522,-0.020085228644867066
-0.011095511915849853,-0.020368039853454003
-0.010536091085310858,-0.01959644543666655
-0.010332335147075971,-0.01927915198269983
-0.009980840129860368,-0.01988393856916221
-0.01022415564779683,-0.019480585046649828
-0.01062422942564949,-0.019771179944920236
-0.010342974454555915,-0.019504605575561433
-0.009789692117703391,-0.016442591654949525
-0.00972349882197851,-0.017092073115122945
-0.009686752703154238,-0.01718569871934704
-0.009881016403213259,-0.016989057898659964
-0.010270876062577164,-0.017283332539751547
-0.009747058125517896,-0.01627586329589475
-0.0100800434238043,-0.017655107820888537
-0.01004309648119843,-0.017443919205637783
-0.009968309338906038,-0.01652696313114508
-0.010228986767796327,-0.018209452166524535
-0.013045771063056266,-0.020625334722722852
-0.01286350926843213,-0.020174295003796756
-0.012848207309153252,-0.020425833323753927
-0.0129037598806776,-0.019623094020414327
-0.012705393749698526,-0.019926285615548343
-0.012493340838106366,-0.019578066868818033
-0.01325740746058127,-0.020174322460240295
-0.012577336477819018,-0.019998264566173877
-0.012823527092312806,-0.02000669687690862
-0.012321591287838378,-0.01922008124593406
-0.016065129148126234,-0.02279008716004374
-0.016470843701469635,-0.025725719626902423
-0.01648186247396715,-0.023454555858785905
-0.016592723267094916,-0.022988178679437202
-0.016036370338126462,-0.024932698282424594
-0.016401984972994988,-0.022852804861658665
-0.016328494403309583,-0.023019427692422306
-0.016564879320651732,-0.023426109526508688
-0.016413611504788126,-0.023169787272465
-0.01605275361798238,-0.0233766727311397
-0.010967026966718996,-0.01976844509482845
