"VaR","ES"
-0.00888576702757948,-0.014694432431942
-0.00935497530393798,-0.0154788042855894
-0.0091328230659488,-0.0144697074570927
-0.00973714744297418,-0.0148521551174772
-0.00942622039626677,-0.0148415495880947
-0.00915285737913431,-0.0145216023969393
-0.00915378135053437,-0.0145231391664898
-0.0093405351125816,-0.0156901337200326
-0.00921175267878877,-0.0148008768994134
-0.00925202777568786,-0.0148376836991588
-0.00966630662971983,-0.014795483771227
-0.00943089312491251,-0.0150745935161407
-0.00944029972158085,-0.0146533312716999
-0.00912539046845078,-0.0146086477139632
-0.00892424755836762,-0.0139970010828549
-0.0085996827898888,-0.0138008778652898
-0.00832847570860978,-0.0135122494501042
-0.00831703079186934,-0.0133275190813687
-0.0083533945833539,-0.0130708854561304
-0.00894650247350401,-0.013649269226361
-0.00845869104477077,-0.0135306054226809
-0.00809925077575503,-0.0129975139376514
-0.00788970232651602,-0.0125701968137178
-0.00812985900953096,-0.012836121031275
-0.00785444752597262,-0.0128956967222643
-0.0080777042356982,-0.0127732448168109
-0.0077553309876816,-0.0124014436765091
-0.00749425770686178,-0.0121584843921966
-0.00769306730856042,-0.0127874433044353
-0.00798808020123161,-0.0126395175974768
-0.00778021712555998,-0.0126311453388681
-0.00756832923135545,-0.0121821618213758
-0.00725465125069952,-0.0118356016473971
-0.00832193678247151,-0.0138863984799668
-0.00875926370756775,-0.0139345015420169
-0.0098440877234857,-0.0148878102281083
-0.00917559328048926,-0.0144654585731208
-0.00940046178532123,-0.0146706106630464
-0.00986247059777488,-0.0162070391415603
-0.00960206485302808,-0.0151158962813036
-0.00920662662565997,-0.0145625607748925
-0.00872076672237592,-0.014058505914928
-0.00844285142859005,-0.0136144613848717
-0.00863334819933109,-0.0141112011531081
-0.00839256462784154,-0.0133843699399316
-0.00903561810646623,-0.0149151557715749
-0.00897797719833037,-0.0147520098703553
-0.00908150901312762,-0.0144578045233706
-0.00896303892279991,-0.0141653285375143
-0.0194500659607026,-0.031210821515433
-0.0193788385824153,-0.0285634826037062
-0.0195275649812986,-0.0304927821742908
-0.0188068469681894,-0.0287209266755148
-0.0188082160650777,-0.027782712760815
-0.017198791396857,-0.0261354628570025
-0.0177862268524549,-0.0260956378247837
-0.0179919619759434,-0.0261705711642275
-0.0162800459821096,-0.0246868601459739
-0.0154283888698705,-0.0240040215523943
-0.0147719890974021,-0.0221777874726942
-0.0136339929321194,-0.0211512571848038
-0.0130179904336165,-0.0205458708901242
-0.012866827694168,-0.0194865126694173
-0.0123385865328429,-0.018944955352735
-0.0117308674775321,-0.0186883291738742
-0.0124693311706868,-0.0201491901342033
-0.0139758767706811,-0.0205530801102986
-0.013700609877451,-0.0204011185405488
-0.0127784786552064,-0.0194421284799351
-0.0132055303406506,-0.0196691933069991
-0.0120606022529094,-0.018712396598986
-0.0113257504309462,-0.0176623207878862
-0.0106994821856213,-0.0167176354149428
-0.010342743994902,-0.0164924866309279
-0.0101500749738224,-0.0161028961661001
-0.00976580642960586,-0.0153095021023502
-0.0107085029958075,-0.0173183770809792
-0.0104956385586961,-0.0165524215852444
-0.00998035507194748,-0.0159833663752456
-0.00958197533372425,-0.0153481572524118
-0.0109434682209126,-0.0163363067992057
-0.0103470543970884,-0.0160136685225479
-0.00977365642219936,-0.0159438748856085
-0.00982026638696237,-0.0154928219325847
-0.00991881686754849,-0.0161565264328584
-0.0101571618325597,-0.0159506808752421
-0.00982661394639767,-0.0159091750678942
-0.0100310320251586,-0.0166333421303288
-0.010091339556609,-0.0160263775446622
-0.0101205577061496,-0.0160123573247098
-0.0101012965213421,-0.0160909346401178
-0.0100015113936804,-0.0162348523757448
-0.0116796452665786,-0.0174158649967184
-0.011866991485771,-0.0177010533075799
-0.0109829911420324,-0.0170214973821004
-0.010735458499327,-0.0164577538641419
-0.0106967248946902,-0.0173657651816488
-0.0107381251132621,-0.0166003538116476
-0.0100284120765417,-0.015974372999404
-0.00992658252542632,-0.0157226552824686
-0.0105853902428735,-0.0160652086749061
-0.0108276850079652,-0.0176453340386554
-0.0114767962569249,-0.0180247758145344
-0.011340684071952,-0.0175038189065334
-0.0114948843437675,-0.0179646765733065
-0.0111950150168318,-0.0171753949164512
-0.0109044598506448,-0.0176922526091955
-0.0105289070847437,-0.0168014198739837
-0.0101476862352008,-0.0161510475485152
-0.0102818428860356,-0.0168558418443412
-0.010879854017614,-0.0164183875499788
-0.0111249200397897,-0.017098870188714
-0.0121172644062248,-0.0183002443850871
-0.015281335053211,-0.0226418114751161
-0.0168441971029473,-0.0246264384727634
-0.0154983620028175,-0.0238664253975789
-0.017554696721418,-0.025752389960331
-0.0168013986602221,-0.0259257413611546
-0.016531075251492,-0.0247698953952088
-0.0206230948564476,-0.0316826764075933
-0.019572153641391,-0.0297845438214628
-0.0185808153872925,-0.0281768053808844
-0.0187769509525843,-0.0293592938611684
-0.0194117079692131,-0.0293900003928489
-0.0185443580427843,-0.0275370033644598
-0.0207567852152682,-0.0297359590145769
-0.0191047834997577,-0.028315803804762
-0.0194751656757067,-0.0287587230411357
-0.017976810814394,-0.0269783950318925
-0.0171019652055615,-0.0258185169966796
-0.0162751932568094,-0.0244077008273195
-0.01524874353443,-0.0231053282170085
-0.0160508200985195,-0.0249134502607745
-0.0157152576619267,-0.0237855667427572
-0.0152582260826602,-0.0229783723113091
-0.0162562081926608,-0.0257369772620792
-0.0156411289266682,-0.0239667890124775
-0.0156007610818494,-0.0231447236108875
-0.0144744625465398,-0.0228382472683944
-0.0152016627131774,-0.024076769915275
-0.0146041220723319,-0.0222331189735165
-0.0138426482248889,-0.0211498724655286
-0.0141548101240633,-0.0226975097057499
-0.016001293066598,-0.0236427143559012
-0.0158448305418373,-0.0233692559782959
-0.0147695130543405,-0.0228857088800142
-0.0140012022257119,-0.0213591654099543
-0.0145054915087862,-0.0224185233283402
-0.0138702220519787,-0.0211777786017602
-0.0130241790803339,-0.0205518684236068
-0.0134739475960566,-0.0218323278783402
-0.0136867196215491,-0.0214510541626045
-0.0138524566119796,-0.0217053165137366
-0.0131825080403609,-0.0204456208686009
