VaR,ES
-0.009232544413907555,-0.015076060750890121
-0.009924393897867086,-0.015226292359569578
-0.009395251974114059,-0.013203059238928096
-0.009022034908570774,-0.013554784563822303
-0.009785887613783453,-0.013391173705504017
-0.009643037090658875,-0.013667558514119866
-0.00928495026446381,-0.014486642339338307
-0.009538622898867385,-0.013577155492250475
-0.009752946007019515,-0.013244926539973301
-0.009751852454486277,-0.01431787611453573
-0.009977897187756952,-0.014906809581945355
-0.009144297446393444,-0.01380941497270366
-0.009416857614648352,-0.014010519711005706
-0.010079271363673606,-0.014509037646055625
-0.009801894172371236,-0.013444150474262553
-0.008686712143384217,-0.013351532309011678
-0.008734152369585392,-0.012889905481177012
-0.009314953238547311,-0.013439209355316057
-0.00947823787849559,-0.014472855714657501
-0.008738174516782911,-0.013948141782026507
-0.009259325210299254,-0.01426181910953911
-0.009305683989357128,-0.014365489058678273
-0.009123172470993843,-0.013480731600903928
-0.010040022009960894,-0.01385389962542685
-0.009650959121028162,-0.013834055574065354
-0.00953649295083546,-0.01367121824228928
-0.00957333749584454,-0.013830027056857059
-0.00881563864447688,-0.013584720704416688
-0.009195516947060008,-0.013640540400776368
-0.008523798806011272,-0.012489464966495539
-0.00873889915239435,-0.011775293063535707
-0.008681041548786598,-0.0126497226794866
-0.008719143621630999,-0.012614001241689841
-0.008968955016952742,-0.013676911530901394
-0.00886352891385098,-0.012510955896874515
-0.008511727758487372,-0.011907022009198782
-0.007886334932211109,-0.012618029215840787
-0.008390030839460149,-0.012514783939301857
-0.009233402656143338,-0.012783245573800625
-0.00850250771125649,-0.012708335138043602
-0.008870371185094431,-0.013383500520763756
-0.008549643142386569,-0.01249980908341554
-0.00829645738775854,-0.01275163901039937
-0.008347980832727286,-0.012168527625966066
-0.008296284161608634,-0.012340135761388912
-0.008936897140467083,-0.012228137868156923
-0.008850105106388485,-0.011706549360559983
-0.008806651856093991,-0.012607391835958487
-0.009512602839915068,-0.013396950681396309
-0.010164021477804343,-0.015111977367118546
-0.009415730028294635,-0.014421052013962654
-0.009679136354251435,-0.014768904414692736
-0.010116113333414561,-0.014120283725183076
-0.009374049531348254,-0.014759925982716596
-0.009633184436616152,-0.015048880247457765
-0.009611872880668854,-0.014371974497372033
-0.010096085740700419,-0.01450518504932339
-0.009716577413094906,-0.014472266840727877
-0.009963620970672486,-0.01508002306951922
-0.009597727178562769,-0.014426047731595839
-0.009037415627124517,-0.013233014626918102
-0.010018006757309931,-0.016300781945903356
-0.009718179543843233,-0.014267858176191443
-0.009557524387270177,-0.015119606212583833
-0.009779331371464783,-0.01433283117468042
-0.010019575331089754,-0.013914548506340938
-0.010007674838346912,-0.014172329116699385
-0.00992848867519461,-0.015041388097103744
-0.010489500857033733,-0.015657863511142015
-0.008992506327144706,-0.013681722345111431
-0.009029517894652877,-0.01264992727700829
-0.009712665049447485,-0.012781922391908198
-0.010590042932556313,-0.015593879528098351
-0.009449091717568586,-0.01391015257559463
-0.009190600818034711,-0.0138334667160112
-0.009722856692440357,-0.014140389687905269
-0.010125428748051665,-0.014800150499696397
-0.009965251590091111,-0.014722030647452353
-0.00978566708572191,-0.014053618175974883
-0.009963750840267446,-0.014080343535256388
-0.01002060380265209,-0.015189322588917788
-0.009462606184779631,-0.013751245539743993
-0.010001714246483722,-0.014710938569280773
-0.010602501231490232,-0.014886724915203424
-0.010065560164781473,-0.014811408703858015
-0.009869800790096826,-0.01347708363559817
-0.009906143006161454,-0.014576156631510935
-0.009856217605409471,-0.014944859528884896
