VaR,ES
-0.01007708124627393,-0.014719097986868953
-0.010075139532721052,-0.014716658898846281
-0.009736152055929913,-0.01427401437630547
-0.009746751474337111,-0.014295955631567391
-0.00961918423312057,-0.014131461961713642
-0.009640717776041254,-0.014151195535202337
-0.009652930751997845,-0.014158814815614202
-0.009752226092371537,-0.014265530256717177
-0.009702229855381092,-0.014204131050862448
-0.009719117111812343,-0.014218650153695807
-0.009717376612398961,-0.014230440722214481
-0.009622047938377952,-0.014114492499010759
-0.009586257295615738,-0.014042536820268854
-0.009596155717970754,-0.014051569070820117
-0.009567010457448155,-0.01401899788269956
-0.009551748601294882,-0.013973886387621391
-0.00955120363351479,-0.013973362486213873
-0.009537024367843412,-0.013964277913752413
-0.009508838667632786,-0.013941544325212548
-0.009514153884816464,-0.013960592014212223
-0.00951958345186836,-0.013966564715217728
-0.009492301421947293,-0.013936016978458698
-0.009432384041239915,-0.013863457404567042
-0.009432946279639871,-0.013868089415220098
-0.00939026024618047,-0.013814389639901746
-0.00937834506022691,-0.013810309992382239
-0.009364365043367105,-0.01379595069763431
-0.009233403539946977,-0.013633083494967384
-0.009266284115006301,-0.013669148681122954
-0.008762115190434613,-0.013003819554769529
-0.008734070294296393,-0.012969420205599727
-0.008673306358620372,-0.012897649101881214
-0.00862170684761044,-0.012800663094380776
-0.008704619604069338,-0.012880486503261877
-0.008662211763749914,-0.012793057874431635
-0.008695148164705128,-0.012847861778402463
-0.008547454373281757,-0.012661623339262018
-0.008521327587981468,-0.012616756999119298
-0.008639846518683608,-0.012751895494847064
-0.008639508825375737,-0.012751604741122484
-0.008633105049880841,-0.012744191864894906
-0.008651340585111925,-0.01276093802352901
-0.008663056621688592,-0.012756296520202456
-0.00868381757520834,-0.012780283087717009
-0.008635683350062998,-0.01272364986291961
-0.008715952637130433,-0.012822888191537164
-0.008788057282671704,-0.012909390306669072
-0.008787580876787535,-0.012908928544534579
-0.008783490603879007,-0.012900001472342229
-0.009479382892284675,-0.01383175776775246
-0.009461421306353714,-0.013822430668280868
-0.00964974028745268,-0.0140700384353235
-0.00970057014184328,-0.014128498124438265
-0.009708564142664947,-0.014153268681189976
-0.00971311377250473,-0.014151846560749427
-0.009744187775137426,-0.01420946166854562
-0.009771975409264803,-0.014271309728318422
-0.00977684730504929,-0.014276335194969068
-0.009777345397391602,-0.014276979169548213
-0.00977617358583962,-0.014272935774749654
-0.009768466936352107,-0.014265308886528442
-0.009826078530690315,-0.014337084438317287
-0.009803978829608513,-0.014292623354051324
-0.009798394330848375,-0.014293555191269028
-0.009827967175952499,-0.0143154722555554
