"VaR","ES"
-0.0194017349300707,-0.0262646761369843
-0.0188256595243494,-0.0248173836108892
-0.0182027688338316,-0.0236529887139972
-0.0179399446248462,-0.024266549696237
-0.017483613944894,-0.0229647073527928
-0.0169686221398866,-0.0229435050583043
-0.0167220206750256,-0.0225552200755012
-0.017216599718289,-0.0220493775471263
-0.0184699939097248,-0.0233911762994105
-0.0175817726459492,-0.0231835115685016
-0.0185005032161807,-0.0255957184909962
-0.0181421188007234,-0.0241209922379059
-0.0201945925001643,-0.0275234855934272
-0.0204805469152859,-0.0264571239364486
-0.0203606531749672,-0.026009713082796
-0.0213117443923317,-0.026316917752258
-0.021593374482088,-0.027835263145632
-0.0227540282537677,-0.0280730173989527
-0.0219863611355865,-0.0288554802255271
-0.0219666367838066,-0.0283553590504473
-0.0214296254042276,-0.0275313798054975
-0.0209338942615165,-0.0279392523672518
-0.0205404043857119,-0.0263860133695424
-0.0205418997504794,-0.0260446154037718
-0.0199826295870921,-0.0260696450461498
-0.0190575793891342,-0.0250696118723255
-0.0191217669176568,-0.0244234538747416
-0.0182533237844545,-0.0236678988231763
-0.0183821792061601,-0.0233327539901352
-0.0174607700793392,-0.0228738669645131
-0.0169275052626221,-0.0223405304859883
-0.0182560892575343,-0.023391055493285
-0.0179561095591729,-0.0229798348397466
-0.0171404444977567,-0.0230679906790648
-0.0168602120705576,-0.022833155649716
-0.0163570111537741,-0.0216461915166189
-0.0176058666992615,-0.0224626763416371
-0.0203633266869092,-0.0259239450882511
-0.0192774330190925,-0.0249227641340396
-0.0187718257835128,-0.0248830676014642
-0.0180586468536773,-0.0236775728930367
-0.017305628486603,-0.0229035829545811
-0.0182400531724694,-0.0231512669580297
-0.0170376844129516,-0.0227318563833998
-0.0170590610488478,-0.0232432240199914
-0.0200004958734667,-0.025249671407816
-0.0207458785946339,-0.0257848681525574
-0.0193437798270958,-0.0249920897165428
-0.0185527793528392,-0.024171917642842
-0.0177392133707113,-0.0235275529522397
-0.0173240134466463,-0.0234823788130509
-0.0169833518093015,-0.0227931375741154
-0.0188011049070062,-0.0240334670781586
-0.0175200149146788,-0.023427878795538
-0.0170008687880937,-0.0230780898316586
-0.0168873110119503,-0.0219408048048071
-0.0158766627078427,-0.0213987101308687
-0.0156205668251402,-0.0209088870040718
-0.0150775825905161,-0.0201877336118988
-0.0144966458847713,-0.0195492080689073
-0.0149652986262902,-0.0196414952525995
-0.0147512042307871,-0.0199526754870889
-0.0142207156311359,-0.0191271666783968
-0.0143314863004773,-0.0200261077938813
-0.0146966572916029,-0.0205995548420162
-0.0144312085256838,-0.0199394017700214
-0.0155180796911906,-0.020268083959876
-0.015460086476683,-0.0201452532848655
-0.0146215742057355,-0.0201978221495238
-0.0143222532430872,-0.0197773648907044
-0.0148246403910978,-0.0192938874436966
-0.0157088402083668,-0.0198633217037465
-0.014725542216203,-0.0198996215131839
-0.0141474515310251,-0.0195363841913004
-0.0144888730998842,-0.0199978540148581
-0.0148156076835206,-0.0193994099603597
-0.0140044811215614,-0.0188444362388997
-0.0138489845382934,-0.0186999212228871
