VaR,ES
-0.011359750737692452,-0.01366356208955435
-0.012590573873071755,-0.015094101539570389
-0.012378981646333689,-0.015040570373637483
-0.01213508036833917,-0.014913159234398328
-0.011521401823074278,-0.013575977256939984
-0.011706409197090463,-0.01388485685066398
-0.01128836450886675,-0.014177835187949817
-0.01190230304918603,-0.01399590277025818
-0.0113607709309808,-0.014067733819843069
-0.011430198554543147,-0.013521558372027594
-0.012457390351964323,-0.015091456430918814
-0.01150933549587939,-0.013936785572157592
-0.011408336499187492,-0.014126183910265116
-0.010961807053929502,-0.013889789989237424
-0.012155418109999231,-0.015097871885089565
-0.011839837797020388,-0.014548211366998576
-0.011204432629513948,-0.013536867788280463
-0.011163686984844188,-0.013692171547660224
-0.011852077160881769,-0.014875192483006412
-0.01194579976927998,-0.014425838435838572
-0.011934728523893167,-0.014329678906648234
-0.011575761308684075,-0.014206773704500957
-0.01124299962750546,-0.013670112979271504
-0.01243892151500271,-0.015071453979606093
-0.011562263825710637,-0.013994052687107303
-0.01053894153807441,-0.01311628196821504
-0.011391416159415154,-0.014358773965703772
-0.010116041410704229,-0.012755316558945011
-0.010660209733817826,-0.013979818447628512
-0.011262212918017921,-0.014007405622205418
-0.010627953495220598,-0.012520309384321178
-0.010453495037453405,-0.012475869793466677
-0.01104654170883691,-0.013295152688840082
-0.010600839216452291,-0.01291377151792152
-0.010345766131937146,-0.013072743946161433
-0.010570761495008511,-0.01290700822519766
-0.009899111535756096,-0.011645501357823808
-0.010473103699055917,-0.012477178541738066
-0.00996490318413706,-0.012245024746211877
-0.010746038548382004,-0.013712740059961225
-0.011377804229319635,-0.014063597393456138
-0.010417128878738031,-0.012390899103332092
-0.010470034545235284,-0.012898875072577885
-0.009632213923878205,-0.011711086584308647
-0.01043401447412409,-0.012128386446076953
-0.01023118386413142,-0.012130449745565102
-0.010592682272292892,-0.012844590151745076
-0.010572046241276358,-0.012772909163748068
-0.011072134801440845,-0.013114502358297477
-0.011156882795557599,-0.013063869161881373
-0.011805479783743179,-0.01456919094594901
-0.011126917467643792,-0.013111519266286627
-0.011014223402175841,-0.014540533992201201
-0.01109992419144251,-0.012994445050265053
-0.011468119046657286,-0.014019418839588507
-0.011892005564524355,-0.014179576932541113
-0.012025014522631224,-0.014373725699275372
-0.012478404997549056,-0.01461476255453785
-0.011999342615818337,-0.014057873723623097
-0.011937916296968927,-0.014733937491263003
-0.011819664421734948,-0.014492187607470876
-0.01228911918196478,-0.015266366076184801
-0.012364981536863804,-0.013908885379575303
-0.010867450520952131,-0.013149522157914532
-0.011571301411504685,-0.014024288346727571
-0.01202937516597181,-0.014504824551823378
-0.011850953305016194,-0.014081431721249992
-0.011770706027133468,-0.014087381984712162
-0.010915888442036429,-0.01426521371941648
-0.011830918298108839,-0.014759026989211157
-0.010977937311162988,-0.013138831342032066
-0.011348971129496363,-0.013532461727574427
-0.012111894179778409,-0.014912517912824108
-0.011725584901907163,-0.01396239712423635
-0.011977331167104158,-0.014367048446048797
-0.011591370065040966,-0.014742835507820892
-0.012915943425040384,-0.015692121273418062
-0.012236617877489126,-0.014522606008355152
-0.011804978344338891,-0.013226276829388367
-0.013345086422478022,-0.016166107696307025
-0.011168034270059362,-0.013155899434378669
-0.01255594364080793,-0.014656525744280481
-0.012215808864203193,-0.014527644836341185
-0.011800225469146886,-0.014458271073014096
-0.011529892593380948,-0.01379390658274482
-0.012194319264575365,-0.014784001130435825
-0.012271622686705693,-0.014315094444001848
-0.011934729646301484,-0.014504631889538997
-0.012682577792309881,-0.01581843562704712
-0.012037331176999098,-0.014910866208396179
-0.012306485327482382,-0.014477085373797851
-0.011730696241796387,-0.014915101117048421
-0.01174321106493166,-0.013960867245822219
-0.012367380690248739,-0.014561447902552666
-0.011544487891370622,-0.014666788141833684
-0.01114694888553223,-0.014229272442387182
-0.011760985948041248,-0.013977510817034116
-0.012521018598369264,-0.015083137085363327
-0.011616897992120975,-0.013821819991602275
-0.012288560205814132,-0.01456418487507484
-0.011947423222107133,-0.014520300793905696
-0.011708065090605386,-0.014344866702280322
-0.012466503661222355,-0.015504886502355722
-0.011627088763486998,-0.014185642307118202
-0.012066755998186364,-0.014886188069613136
-0.012076195712485215,-0.01459776966940548
-0.011608052348403909,-0.013814985566995947
-0.012704294169038267,-0.016427418457792334
-0.01115732541943569,-0.01459776016646737
-0.01167582835316081,-0.014119753244241959
-0.012349284923843348,-0.014875918900314455
-0.01124324548399267,-0.014447243564213931
-0.011401700347282356,-0.01463116743820506
-0.011589584974884517,-0.014050754313225387
-0.01242215593971593,-0.015012975192767463
-0.012395387860845746,-0.01533844704834
-0.012793532694173135,-0.015327987259932079
-0.011601331622192936,-0.013843873349206094
-0.011996394279538414,-0.01465948466327909
-0.012355690917977913,-0.014942679156166191
-0.012509816002021413,-0.0152918533548594
-0.012807615981648186,-0.015233791808473429
-0.013518583782577956,-0.016440553813879683
-0.013057523437334854,-0.016109746733102975
-0.012632770932585503,-0.015248406606173204
-0.012849849973189815,-0.01556283709084242
-0.012864195229776634,-0.015452188303213162
-0.013282835352246832,-0.01616026917368059
-0.012174956461734596,-0.015149185490192835
-0.013026640303934491,-0.015028468717207978
-0.012155460907333085,-0.01514829422247825
-0.011942823200155373,-0.014634897359906186
-0.011583674000962893,-0.014441682031398315
-0.012605411718886591,-0.015103498177848382
-0.012859523954217255,-0.015680613739645924
-0.013331286338599119,-0.015312763319284333
-0.012812306258477318,-0.01619342864371762
-0.012163376295453556,-0.014233603415799883
-0.012600361893515996,-0.01569326905238047
-0.012972140611859768,-0.015241405127996465
-0.012409240213902203,-0.015403170062707668
-0.013182259539760353,-0.01604398843679593
-0.013294137833310566,-0.015256150761194904
-0.01203973767082358,-0.014978614433836492
-0.013217843011681376,-0.01555561270534271
-0.012127280715713685,-0.014568673812046065
-0.013359745756344776,-0.0158113978598595
-0.015150801094828008,-0.018191659342188426
-0.014422339370257959,-0.01718329197093204
-0.01276059091304706,-0.015296979063579512
-0.013961821585052585,-0.01738622875366074
-0.014124051659619375,-0.0163464018371605
-0.014285941880257303,-0.016357411496133244
-0.015057036203282668,-0.017392080261318922
-0.014223716578070464,-0.016828466377634573
-0.015093963861323775,-0.01794072274250046
-0.014023015476656311,-0.016299690872873498
-0.01440811420668008,-0.01754874607438422
-0.014345971407168288,-0.016937345517390394
-0.015190545988648768,-0.01829525421799066
-0.013597404963705713,-0.01612785205270141
-0.015116366647634796,-0.017489972125707184
-0.015474734323008428,-0.017628852859704856
-0.014864599611399621,-0.017922219585246087
-0.015604194938171716,-0.018887766770663138
-0.014410226288729976,-0.017196831987064922
-0.014953349720844363,-0.01751282995180625
-0.01542075028931648,-0.018415172862953643
-0.014637668216956359,-0.01862687659189846
-0.01597585855785193,-0.019141727585496194
-0.014755325235233192,-0.017125534676414703
-0.01551874320662752,-0.01717277553467157
-0.01523911547561384,-0.01787781254782636
-0.014884084136094263,-0.017795115256882744
-0.015397554366810274,-0.018803926370541683
-0.014617790213483877,-0.017941590493406503
-0.015466383064681443,-0.018008180468402864
-0.015214672706706477,-0.017713029740312684
-0.015664285736819036,-0.019076670203692175
-0.01482519408073701,-0.01710431308599657
-0.015541560820266618,-0.018180325471957005
-0.015806555742113922,-0.018220971069770463
-0.014822638252311244,-0.01827621046684327
-0.015598001153112198,-0.019738170380925034
-0.0162592611434196,-0.01934800856772041
-0.016641185510176855,-0.019625866718173603
-0.01560737784140684,-0.018256521639712732
-0.015210709770002124,-0.01772567524427233
-0.015398975517234487,-0.018975568577435636
-0.015536010258907308,-0.019303413461689768
-0.01523972134520916,-0.018221284804299926
-0.015828627150936025,-0.019145896007345835
-0.016939792163024502,-0.02029003641489207
-0.015343149731488209,-0.017861332447788182
-0.01714373162471755,-0.02021502061720007
-0.017421605840440602,-0.021164281089842335
-0.017306511381797722,-0.02146174207617992
-0.01666896312846173,-0.019238442029235324
-0.015616253313807522,-0.01874471682009514
-0.017118869655294647,-0.02098583057326115
-0.016189439501205747,-0.020024253048877408
-0.01645631081730889,-0.019898444661228424
-0.017476286513889553,-0.020858972845980133
-0.015897999226567604,-0.01883180408188409
-0.016663594425330646,-0.020579522292576365
-0.01605526659972611,-0.019563131053029544
-0.016401021262544127,-0.01960011785438542
-0.017004729738249704,-0.019498444808520535
-0.015636154041609878,-0.01928906994246538
-0.01812715693451213,-0.022020094563678136
-0.015618976050282006,-0.017933560937085324
-0.016711045996791993,-0.021245434023213817
-0.01800365090652344,-0.021065249014181983
-0.016400302729821035,-0.018631328867444685
-0.016313558411003185,-0.02017362977863943
-0.01740538707616188,-0.020549564522102343
-0.017420420181083564,-0.01980873186425408
-0.016944509322651725,-0.020347958686773682
-0.017222135540577624,-0.019484752632767117
-0.016555031960444423,-0.01950453544486636
-0.017219583812926296,-0.020048034371553294
-0.016524500416017576,-0.01983772433159462
-0.0175669166905512,-0.021159530167826082
-0.01689971270483784,-0.019411920909655035
-0.01686577507076014,-0.019572218556726594
-0.016007885388994728,-0.01942582530696857
-0.016708475651202207,-0.02038192772782329
-0.015396093645038293,-0.01927872184338504
-0.016292957136522266,-0.020177172350513597
-0.016421610917222988,-0.019014769630549495
-0.016384578214053622,-0.01968089270015747
-0.017471320634111116,-0.02128748013662506
-0.016452192942014884,-0.019699463683238688
-0.01738466211842612,-0.020866295828578435
-0.01593752915307478,-0.019394994125286644
-0.017121045507471875,-0.020215423137175823
-0.016464471848909073,-0.019037322902436135
-0.016121417451796193,-0.019280290050821363
-0.017710372329673575,-0.02021243432043424
-0.01740632149634483,-0.021141872343135158
-0.017608945533584188,-0.021435485477587
-0.01711429347861874,-0.021087810996639048
-0.01732522851155668,-0.02143906759169224
-0.01715170548072242,-0.020015030194030285
-0.01753221097331625,-0.021352375279110908
-0.01839121634463416,-0.021481038091720025
-0.01868654242580958,-0.02233564137907108
-0.016780712889081995,-0.02008962510300108
-0.017380677419887667,-0.02061812437271151
-0.01662814999817086,-0.020680376102091936
-0.017016006671686828,-0.02035725628612818
-0.016729392685727998,-0.02111434161064417
-0.017593091050982595,-0.02114245446722394
-0.01846008032477064,-0.021644673121447005
-0.01760446986470736,-0.021040747093179126
-0.017511280500278437,-0.021919308002590877
-0.01734125861489151,-0.02090471398542179
-0.018181751599623732,-0.02097706655637702
-0.018016143143203923,-0.02028836966667305
-0.018662087557658982,-0.021725769769633176
-0.0200207482011803,-0.022777705124129643
-0.01877925528696252,-0.02355476896404757
-0.01857825409033409,-0.02209556939049617
-0.01902705601828567,-0.022426675362783234
-0.019734376332469813,-0.02210184917993032
-0.0187587205624777,-0.023193552097076863
-0.018384964965096843,-0.021982004853280578
-0.020662404156753654,-0.02298425696632794
-0.01929815549346276,-0.021994927229689293
-0.01931411332933573,-0.021823940230293774
-0.019102448745089592,-0.02269134692035765
-0.019406746035410535,-0.02312646367745952
-0.018532857383026277,-0.02122242083646627
-0.019486404847486635,-0.0229785798293617
-0.018300050653066877,-0.02168294902344684
-0.02034156076302065,-0.023520132810850577
-0.017654075560421912,-0.02108549807544488
-0.019180452827779887,-0.023028699298666258
-0.01824350461408958,-0.022456348901386543
-0.018507566061918015,-0.02291636219062425
-0.01854160810843478,-0.02227210134314916
-0.01770452274052033,-0.020410267712754546
-0.020771280521529774,-0.023671792126182548
-0.018585182917248425,-0.022585012981463756
-0.018824005007645684,-0.023166512697494673
-0.018995787022348245,-0.023666940023482602
-0.019735270177984276,-0.023228419146674336
-0.019178221842279783,-0.022487012766004417
-0.020079856439287305,-0.02276735101643601
-0.018590359864230868,-0.02351037371263351
-0.0194642418319977,-0.023342461670311464
-0.020501868554237652,-0.023906500904577507
-0.02086035688030855,-0.024032032707653125
-0.019992844171972026,-0.0232382921999309
-0.01992464954784205,-0.023512850316413328
-0.02140092244269133,-0.02528361894002442
-0.021953378641875278,-0.025926169378634806
-0.021339103019764816,-0.02548759026268831
-0.020956878780194095,-0.02375923822529731
-0.01894760576256242,-0.02349593997036589
-0.02054962031354415,-0.023302501813150585
-0.020816756360689963,-0.024478957208397385
-0.020173160727054478,-0.02480571997179871
-0.020454645634815978,-0.0236436562260046
-0.020330627258690462,-0.024526337178410636
-0.01950187880459658,-0.02267928745221134
-0.021140310130729277,-0.025160392720108483
-0.0189879758916872,-0.022652756978135624
-0.019686850109492258,-0.02244204219146302
-0.019408471134091804,-0.02233601451217954
-0.019757497216343445,-0.023448737556985167
-0.02082862803185352,-0.025210737334069568
-0.02012624954583062,-0.025146460793734032
-0.020040526810326947,-0.02427622173609111
-0.01924322353999695,-0.022791377303954224
-0.01933374221681427,-0.02420008967449585
-0.0197974500565089,-0.02381511309143078
-0.019905409757919802,-0.02359785915929765
-0.019861632451637846,-0.024455758716650913
-0.01986445208415488,-0.02293717513516842
-0.019633560910335725,-0.02326664644315917
-0.02105074466274539,-0.02306828450475756
-0.020214150129791143,-0.02427937039187106
-0.020146969532291212,-0.024086515759735316
-0.020303771591049357,-0.02311395980742252
-0.019869924971723723,-0.025195336599480752
-0.019636868459123862,-0.023204538203870778
-0.021152987193087336,-0.02447696509177292
-0.019978189854453262,-0.023480711762178294
-0.018675235059456705,-0.02272430456862683
-0.01948667286324697,-0.02364314455900556
-0.020161889929438608,-0.024735281992739378
-0.02245157641843174,-0.024825088939133124
-0.020031004107528665,-0.024662902173412063
-0.02038854117243063,-0.023738599063002793
-0.01918229504896173,-0.022944670125306675
-0.02018725202017754,-0.024104926567640378
-0.020325224659227367,-0.022920184691644453
-0.019204901571598137,-0.023135371129448967
-0.01844582754078384,-0.02306896353164726
-0.01960870080708365,-0.023554062143599338
-0.01992680542533448,-0.023654745788573774
-0.019673273302248568,-0.025110767514873886
-0.019711835898985206,-0.02392772854579909
-0.019298761269708774,-0.024372648270171885
-0.021021168812397836,-0.02516743996420686
-0.01961191354361662,-0.02306195494779149
-0.017953256719128903,-0.021904443534312826
-0.020398517506232207,-0.023934203527372168
-0.02007086801004589,-0.02378074776036606
-0.02180271454673812,-0.024844372111287337
-0.019751032156142823,-0.023279670551130907
-0.020296838598677796,-0.02413274418962938
-0.020851304437681163,-0.024195008618433187
-0.020469020278682876,-0.025855340956496352
-0.0192405587796264,-0.02484755546505459
-0.018822366355099634,-0.023532764825105267
-0.02018149778347962,-0.02558425838505507
-0.0196322395666687,-0.0232015411775705
-0.020991942234208492,-0.025858499575108454
-0.022057090662306558,-0.024716950791454275
-0.019732029550503065,-0.023526648320825152
-0.019948319816686925,-0.024410626391469795
-0.021116759094966353,-0.023846262434012337
-0.01959337013307949,-0.02271311621857262
-0.019905369146484907,-0.024269817551670743
-0.020431775791701523,-0.024731024932244133
-0.021532177906897806,-0.02416697007884286
-0.019648986663502316,-0.024251709355915172
-0.018902930345995602,-0.02276528215728272
-0.021045861707835723,-0.02619886244723973
-0.021700975531895643,-0.025001856356879043
-0.020449344496135634,-0.023710960938205267
-0.018537878278271764,-0.02197185261147897
-0.01964935792599777,-0.02438983229023222
-0.01948224972497758,-0.023335361665814482
-0.019959802322096827,-0.023392720369652703
-0.020571617546087738,-0.024562352616762304
-0.019540776796843917,-0.02256703913905028
-0.0197960030377585,-0.023367953664096636
-0.01888027285363528,-0.0223499614881449
-0.01980001737563567,-0.02384564381362933
-0.019556962088538778,-0.022647497432309052
-0.019656424960316013,-0.023270474239619317
-0.020299882795327608,-0.02480758062321604
-0.018232584477840652,-0.021798104234922046
-0.019198242456144102,-0.022714955562330063
-0.020727619339733085,-0.025409603650715762
-0.018791188028484906,-0.023061342601282734
-0.018918096915258323,-0.022978727654704573
-0.019721080159816443,-0.023265523503027727
-0.018915631504174458,-0.021152491613677476
-0.019517338639593002,-0.02290134303407511
-0.01879624170716481,-0.02295164643334764
-0.018410838932365874,-0.02217325649126224
-0.018443270538977027,-0.021457858992091076
-0.01875470617212308,-0.022943702488776717
-0.021467510233896647,-0.02474484934625866
-0.019788065948935465,-0.023237117898518754
-0.018889152748405233,-0.02207091849044004
-0.018111173469566054,-0.022216533861092062
