VaR,ES
-0.043981147182140266,-0.04941174273564793
-0.044223455746141324,-0.04940837334958296
-0.04486406236645961,-0.0502048316715968
-0.04518719231731015,-0.05027323027881424
-0.044435787674462775,-0.04987994034896696
-0.0455240730728096,-0.05118947688374695
-0.04495948931308654,-0.0497532716047293
-0.04438527892444399,-0.04967932170531879
-0.04396423657611463,-0.04905099191178751
-0.04462992527498572,-0.05015599117552112
-0.042461737062685655,-0.048516609991636435
-0.04284943175771992,-0.04832556832790155
-0.04299442109670864,-0.048565413787199065
-0.04191351323719036,-0.04858221467925337
-0.042964752561889204,-0.04819722810626573
-0.04404447918626602,-0.050560420318852765
-0.0431508355618204,-0.049548052384916906
-0.04276061508838524,-0.04872063151159733
-0.043619012317372585,-0.05021054261825689
-0.04282483888821305,-0.04946690291144548
-0.026741736865347407,-0.03226445243245947
-0.027181975979947915,-0.032549514581139284
-0.02723361416874895,-0.03253118233257442
-0.026517932509768992,-0.03190240315439235
-0.027234951486832613,-0.03294720359665631
-0.02753670096717055,-0.03363744475726979
-0.02690990454565095,-0.03245758866367888
-0.02742382675322073,-0.0324467849648067
-0.027277450722177538,-0.032646846720387805
-0.02774646671371059,-0.03316735921129951
-0.014152423713231308,-0.01732233847157071
-0.014037268511511174,-0.016717860106833484
-0.014037145138361328,-0.016943955168892324
-0.014627500477606581,-0.017461626764727987
-0.014253124636056004,-0.01704319720196007
-0.013625206103346256,-0.0163305223162048
-0.014294037403363468,-0.01703583265708646
-0.013723989969286494,-0.0167753134778003
-0.014021445510477681,-0.016782743958432968
-0.01431592025718646,-0.01712853646401539
-0.007322644494552614,-0.009356245901333037
-0.007272266286862174,-0.009469538645747864
-0.007388924278589833,-0.009162931919343155
-0.007494228906899073,-0.009506428573376741
-0.00731130743308235,-0.009292446144419245
-0.0073751488562423615,-0.009001235593101509
-0.007520105007840581,-0.009496717223466395
-0.007692187705223882,-0.009561514215555868
-0.007470744573719211,-0.009372116210531786
-0.00722256744399879,-0.009396448176593113
-0.010847422008664835,-0.01415269156527528
-0.01101342418777523,-0.014388271600951786
-0.010643014025587384,-0.014373580261468474
-0.01073018244317621,-0.014020805366204982
-0.010646068268186159,-0.014176962360870751
-0.01099612533779973,-0.014820141104480144
-0.01081216506657627,-0.0145089016370369
-0.010349734821643577,-0.013829550674084498
-0.010587588447112212,-0.01394678297171336
-0.010335129366702526,-0.014128194811089031
-0.012621984952336959,-0.016900152283687384
-0.01289491245139816,-0.017345811036989085
