VaR,ES
-0.027828333363047793,-0.033581485462304154
-0.026121789441178288,-0.031420531149910336
-0.025352587176560044,-0.031086719992732114
-0.02891151897806239,-0.034451575186049174
-0.025674593742871062,-0.030688428200864447
-0.02817317642860612,-0.03374336945934357
-0.02726454356683835,-0.031128919128028034
-0.027005211992193388,-0.031151605593376645
-0.02455263672331926,-0.030654007341486822
-0.026379561914192495,-0.033088365325608396
-0.02528516930250938,-0.030696598086126937
-0.025281034569843177,-0.030503772963706374
-0.02641410965597998,-0.030865813591339303
-0.02445370734858763,-0.028984010709959013
-0.028507885732324784,-0.03465011896699515
-0.02429544284706397,-0.030129639913961254
-0.026546252534230264,-0.03147894792765345
-0.026479556771362826,-0.031159153552113784
-0.02610058971610432,-0.0312692552196709
-0.025804673773743476,-0.028954824235033687
-0.026243335420215196,-0.030354319206796442
-0.027806259856972083,-0.03256937215979207
-0.026293077835561687,-0.030417325059190228
-0.02421377141979951,-0.02869420123543738
-0.025034572168755924,-0.030483494368475812
-0.024944624496762508,-0.030108921307116662
-0.025368387251215502,-0.029748961614797863
-0.027060380550812377,-0.03349639027470961
-0.02436801113310821,-0.029814287064064887
-0.02535322447700634,-0.03094297457653034
-0.02630276696287817,-0.03045161672207506
-0.02486357806237298,-0.029818755816233014
-0.0254669990558312,-0.03252683296682277
-0.024868090523000288,-0.030377801925806608
-0.025075081700157455,-0.029156749110426813
-0.026775792095532082,-0.03302339620352555
-0.027398310557954823,-0.031682152465711357
-0.025750237266906294,-0.02972850593176931
-0.02673520292148508,-0.032183977850983904
-0.02678495799353641,-0.030017794005355935
-0.02656530380099691,-0.030929789932522152
-0.024235865901423556,-0.029418355390556074
-0.024305225803955614,-0.029268862042309655
-0.026399284751598903,-0.03189631197151928
-0.027238383398208967,-0.03250540938504229
-0.02609874149743553,-0.032221710967015135
-0.02538037241547302,-0.030190062929263736
-0.024454465782013185,-0.028722184563478338
-0.02417643598293547,-0.02821645090048622
-0.023739874782538195,-0.030731431792965398
-0.026548257556943098,-0.031508440915887746
-0.025108988648380924,-0.03164361140571347
-0.023906403710888882,-0.027775213436875227
-0.024614200002924688,-0.029341440583938526
-0.023422925258070892,-0.029383025382196573
-0.02468251107959055,-0.030564886737807585
-0.024885952023506873,-0.030164688826087183
-0.025949907866916797,-0.033081710387791556
-0.025524591809995785,-0.030653829458844362
-0.02245582741909265,-0.027479133424371523
-0.024823050280055894,-0.028958085049252503
-0.023332348797139597,-0.028562224211618442
-0.023031815531220495,-0.028901579684010387
-0.023232579170698223,-0.027681924146012508
-0.023753061221047166,-0.028889896121947905
-0.022070771396854198,-0.025444115309315583
-0.023047220929796663,-0.027960541494828548
-0.022871020778416254,-0.02609259616758446
-0.02193994121005017,-0.025334190163735174
-0.02051010142779197,-0.025718073207352962
-0.022343788466840063,-0.028087378603326087
-0.022346474392395545,-0.027526508384068435
-0.024139115599243543,-0.028671598476413044
-0.023555399852466744,-0.02847111606447525
-0.021027303304047243,-0.025600176926821337
-0.023338996784841092,-0.02899780599560008
-0.02360834054405135,-0.028970234230224223
-0.02043726084273435,-0.024196113941786678
-0.020896008468405083,-0.026243979264632514
