VaR,ES
-0.027343487018204944,-0.03258091791216306
-0.02732328730802891,-0.032559575547111294
-0.027251987422363944,-0.0324847767805318
-0.02716775716983434,-0.032389985961621265
-0.027152154371683456,-0.032375018071862216
-0.02707002868006375,-0.03225214010847873
-0.02702877522967882,-0.032206348137679024
-0.02687481750703963,-0.03203974344021655
-0.02688864051645951,-0.03205822310683607
-0.02687202123094862,-0.03204291898843023
-0.026938037058933405,-0.03211740864970646
-0.02675453973191189,-0.03191266357459209
-0.02676470567076708,-0.031924248148324494
-0.026652306421466654,-0.03176960557875933
-0.026520014265612204,-0.03162807778236541
-0.02639897454354389,-0.031508837873834655
-0.026405497974490162,-0.03151557196782539
-0.02628539123225726,-0.03136251507794013
-0.026321268229135802,-0.03138567891376506
-0.02632186568284562,-0.031384474517847614
-0.02632137284737392,-0.031385513309973335
-0.02641595682970335,-0.03148762181621616
-0.026408246674346943,-0.0314725708542524
-0.02634957311142923,-0.03141352023700959
-0.02635870634998614,-0.03141660762369691
-0.026382642730141345,-0.03143839334561097
-0.026387509194427117,-0.03144742798293047
-0.02638648580227145,-0.031442898895630934
-0.02637080427531437,-0.031435506522995225
-0.026197695725282067,-0.03124573613780113
-0.026208124095083697,-0.03125566610685348
-0.026207972738809013,-0.03125582099721031
-0.026154614111676508,-0.031202442376511368
-0.026162117727543392,-0.031210637685120276
-0.02620242056117998,-0.031252131620842706
-0.02620493244465292,-0.03125464283425178
-0.026061716487986525,-0.031108796040417476
-0.026038956520096437,-0.031091942109011672
-0.026036104268548604,-0.031089423759080685
-0.025915537827210403,-0.030955759368852868
-0.025903620769690612,-0.030944283200045806
-0.025878517991917215,-0.030898418918754143
-0.025882408006435615,-0.030899847563657934
-0.025840994518500093,-0.030855466670067618
-0.025704370067579318,-0.030700870240609662
-0.025695197789716115,-0.03068443076223164
-0.025413705641197378,-0.030381856509650692
-0.02541036390157787,-0.03037954432958341
-0.02533609775337443,-0.03027558021243913
-0.024980908923566334,-0.02987174061211583
-0.025052127568751633,-0.02994783844554495
-0.025091553333261556,-0.029989455913557353
-0.0250385983276965,-0.02992156315140017
-0.02459723299999112,-0.029418127508889527
-0.024648231047003828,-0.029472903673276173
-0.024481580628727583,-0.029291914766503085
-0.024495231965952415,-0.029305970286702895
-0.024264901123680488,-0.02904597078462183
-0.024207427068979017,-0.028983792029698707
-0.024210783153064505,-0.028976961767500923
-0.02419636420988471,-0.028965398894010872
-0.02417514989217287,-0.02893026641169202
-0.023499071365984465,-0.028155161559454363
-0.023410592423592464,-0.028055545015424063
-0.023504614479075283,-0.02815781411601976
-0.023281213268694298,-0.02786095323314449
-0.023279367617515777,-0.027859843334143014
-0.02326003361129201,-0.02784465580673639
-0.023269751824089992,-0.027846004400128823
-0.02323781360866325,-0.027788221338801173
-0.0232091431501315,-0.02776423845424315
-0.023152564040141866,-0.027713497396201946
-0.023174902721530097,-0.027731023665389005
-0.02303657133307335,-0.027575875051854888
-0.023059154772158672,-0.027600082382588022
-0.023053684461498428,-0.027591654157964485
-0.022978486585392498,-0.027510395826956767
-0.022689634801439585,-0.027187044703896
-0.022299470799076914,-0.026745295686826345
-0.02186357210228646,-0.02625148057429504
-0.021804195080049448,-0.026200393438977627
-0.02182128744665193,-0.02620956607748723
-0.021704898126332955,-0.026078418038614878
-0.0217261955738796,-0.026100544698117012
-0.021593174270633533,-0.025926024617778858
-0.021647985613432254,-0.025983586482752268
-0.02167642976387811,-0.025999544333619628
-0.021579013633684703,-0.0258715907723558
