VaR,ES
-0.009259532548135977,-0.012735760101674702
-0.009178130904933895,-0.012978641649312948
-0.009547380479115337,-0.013328223959095848
-0.009216697914503082,-0.013528770245621246
-0.009606878619520889,-0.013049382816572079
-0.009566046653054076,-0.013063303084018558
-0.009355658164470381,-0.012914598791985397
-0.008781134196539319,-0.012179173672063752
-0.00930845643587327,-0.012603249762298646
-0.009604147543676283,-0.016206622116148296
-0.00885816176228308,-0.011464494468691506
-0.009118026632227112,-0.011836844959014074
-0.00935719330522491,-0.01513243713119018
-0.008929129239099895,-0.011457583863866234
-0.009179335339572062,-0.012034076853055182
-0.009234509173143047,-0.011636041467534785
-0.009011551068146242,-0.011647082320771983
-0.009144664185964194,-0.012005845561930083
-0.009012636474809033,-0.011628506645864763
-0.008680194250944797,-0.011381227526425708
-0.01234736180160564,-0.016048854042439116
-0.012408691448754922,-0.01641738373724765
-0.012762420958075584,-0.018366555739377056
-0.012403191755208187,-0.015822899500033096
-0.01181749470334267,-0.015301998872937966
-0.011976544768737251,-0.015408877469375045
-0.01224734359780759,-0.015707737354619195
-0.012235201974713745,-0.016136929171749578
-0.012428904274991633,-0.016105001978509753
-0.01299427802562628,-0.0167208462049704
-0.011336975154774586,-0.015117170134371931
-0.011108880233758679,-0.014512167115983146
-0.01159393301678583,-0.01542092483608849
-0.011036016543665997,-0.014492222958303018
-0.011309686834958201,-0.015156637818450149
-0.010829410948697512,-0.014333923069177626
-0.011150813392551974,-0.015175206075480946
-0.011535957151625907,-0.015242325026203185
-0.011328080218697653,-0.014778588377031254
-0.011417827187339335,-0.015219674613100321
-0.014117473212870367,-0.02030295496696308
-0.013755401607169128,-0.019560565946878078
-0.013696313781640768,-0.020085228644867066
-0.014730697117418078,-0.020368039853454003
-0.014043857378598056,-0.01959644543666655
-0.013497194040975397,-0.01927915198269983
-0.013372844000124,-0.01988393856916221
-0.01376055513205746,-0.019480585046649828
-0.014172040387010417,-0.019771179944920236
-0.013673701110913221,-0.019504605575561433
-0.012477753336836902,-0.016442591654949525
-0.012580544924956728,-0.017092073115122945
-0.012636709616321904,-0.01718569871934704
-0.012773565723514565,-0.016989057898659964
-0.013067290519796465,-0.017283332539751547
-0.012693777028207037,-0.01627586329589475
-0.0129002347034618,-0.017655107820888537
-0.013301220970807793,-0.017443919205637783
-0.01281311635031512,-0.01652696313114508
-0.01324620655915445,-0.018209452166524535
-0.01629684445029005,-0.020625334722722852
-0.01622916069429923,-0.020174295003796756
-0.016020510929343017,-0.020425833323753927
-0.01569101089021738,-0.019623094020414327
-0.015853478383333994,-0.019926285615548343
-0.015394112724450225,-0.019578066868818033
-0.01642303366924534,-0.020174322460240295
-0.01587978239192021,-0.019998264566173877
-0.015748763900596326,-0.02000669687690862
-0.01511243815643097,-0.01922008124593406
-0.018888908257707133,-0.02279008716004374
-0.019264232611313617,-0.025725719626902423
-0.01963400197489615,-0.023454555858785905
-0.01954081208269786,-0.022988178679437202
-0.01871976781030815,-0.024932698282424594
-0.01938050225800175,-0.022852804861658665
-0.019473956228019302,-0.023019427692422306
-0.019405421326364965,-0.023426109526508688
-0.019451988174685974,-0.023169787272465
-0.019357592763654296,-0.0233766727311397
-0.014025878040550983,-0.01976844509482845
-0.013591671986460408,-0.01729010817168247
-0.014599418263701045,-0.018510398498126534
-0.013785472837981459,-0.017940588755337945
-0.01387687978127549,-0.017791069674658308
-0.014163454356425973,-0.018202137792485557
-0.013819506367137047,-0.017432060334159966
-0.014586610811413775,-0.018535131954999208
-0.014040820023153313,-0.018228657131787833
-0.014092902515853378,-0.018171655826553966
-0.01691141622838045,-0.022326572665412037
-0.017153164317865975,-0.024659677205487784
-0.01671164816510297,-0.02223800833027693
-0.01708485454030553,-0.022028306115394684
-0.017002068880294482,-0.024786665297212785
-0.017107444662879043,-0.022011042767089473
-0.016647670813700218,-0.021669617775846476
-0.017126971313783684,-0.021683404380185664
-0.016814517934348513,-0.0214911809874246
-0.017221031613752533,-0.022811738794479352
-0.014887704656390392,-0.01873685950895196
-0.014760894737128138,-0.017962499600150686
-0.014774526663636036,-0.018490671316192545
-0.014510810171513315,-0.018101601438259805
-0.014667991917555223,-0.018366422276122035
-0.014610476614514327,-0.017874826609447142
-0.014921666614298376,-0.018591448333543467
-0.01451098445912796,-0.017932186982977993
-0.014639799457190864,-0.018103230535578496
-0.014085342274177392,-0.01753912991643735
